index,frecA,sentence1A,char1,sentence2A,char2,questionA,answerA,has_question,word_high,word_low
1,low,Se podía ver que el humo,24,se había disipado.,19,¿La vista estaba más clara?,SI,1,país,humo
2,low,Es importante usar el,21,tono de voz adecuado.,21,,,0,tipo,tono
3,low,No me ha gustado el sofá,24,de la tienda.,14,,,0,modo,sofá
4,low,Esta mañana el lago está,24,lleno de patos y peces.,23,,,0,hijo,lago
5,low,No confíes en que el lujo,25,lo es todo.,12,,,0,amor,lujo
6,low,Cuando llegue el momento,24,la nave irá muy lejos.,22,¿Seguirá el mismo camino?,NO,1,vida,nave
7,low,Estamos preparando la,21,sopa para los invitados.,24,,,0,casa,sopa
8,low,No se ha elegido dónde,22,hacer la caza todavía.,22,,,0,obra,caza
9,low,Espero que la miel esté,23,lista para ser recogida.,24,,,0,zona,miel
10,low,No puede dejar de,17,buscar fama y riqueza.,22,,,0,hora,fama
11,low,Cuando llegamos el primo,24,nos saludó.,12,¿El primo fue de descortés?,NO,1,señor,primo
12,low,Para recorrer el patio,22,necesitarás ayuda.,18,,,0,mundo,patio
13,low,Cuando veas el trozo,20,que queda te sorprenderá.,25,,,0,lugar,trozo
14,low,Quiero ir al grano y,20,tratar el asunto contigo.,25,,,0,grupo,grano
15,low,No por tener más motor,22,irás más rápido.,16,,,0,poder,motor
16,low,"Estando en la ciudad,",21,la magia se nota menos.,23,¿Es igual de mágico?,NO,1,mujer,magia
17,low,Tengo ganas de que caiga,24,la nieve por fin.,18,,,0,noche,nieve
18,low,No sé cómo terminar la,22,frase esta vez.,15,,,0,serie,frase
19,low,Es fácil trabajar con la,24,arena de playa.,15,,,0,gente,arena
20,low,Para la cena la plata,21,debe estar limpia.,18,¿Se están haciendo preparativos para la cena?,SI,1,madre,plata
21,low,Tengo frío en los oídos,23,sin mis orejeras.,17,¿Tiene calor?,NO,1,meses,oídos
22,low,Si te fijas en los,18,kilos verás que faltan.,23,,,0,datos,kilos
23,low,Cuando se den estos,19,daños hay que reaccionar.,25,,,0,casos,daños
24,low,Desde aquí se oyen,18,peces chapoteando.,18,¿Se escucha algo?,SI,1,pasos,peces
